credit_card_num,card_code,expire_month,expire_year,card_type,Owner_email
5.51E+14,802,11,2025,Master ,cgiacomucciqf@nsu.edu
5.94E+14,697,3,2029,Master ,galldridge4x@nsu.edu
5.30E+14,849,6,2030,Master ,msalvatore3m@nsu.edu
5.63E+14,789,1,2027,Master ,pnetley4n@nsu.edu
5.23E+14,925,7,2029,Master ,nscougallba@nsu.edu
5.34E+14,117,7,2028,Master ,lkopeciu@nsu.edu
5.08E+14,27,6,2028,Master ,kyabsleyln@nsu.edu
5.64E+14,739,7,2029,Master ,ogajownikly@nsu.edu
5.23E+14,544,12,2031,Master ,hmathivet8l@nsu.edu
5.04E+14,668,11,2032,Master ,geakina0@nsu.edu
5.80E+14,941,8,2031,Master ,dstricklandma@nsu.edu
5.41E+14,723,10,2029,Master ,mmcterry83@nsu.edu
5.67E+14,855,3,2032,Master ,cthumann4h@nsu.edu
5.38E+14,731,11,2023,Master ,gspringettim@nsu.edu
5.89E+14,276,6,2023,Master ,qmawbyqd@nsu.edu
5.74E+14,421,8,2030,Master ,ahadlee1p@nsu.edu
5.38E+14,669,3,2024,Master ,gtabbk7@nsu.edu
5.40E+14,329,12,2025,Master ,ewhiffenoo@nsu.edu
5.39E+14,34,11,2027,Master ,dbleasbyq3@nsu.edu
5.29E+14,766,11,2025,Master ,dstryde3k@nsu.edu
5.50E+14,834,2,2032,Master ,krelfeam@nsu.edu
5.10E+14,335,4,2028,Master ,ltrippie@nsu.edu
5.30E+14,693,1,2028,Master ,agabbitasns@nsu.edu
5.48E+14,607,5,2025,Master ,akittemancq@nsu.edu
5.88E+14,875,12,2031,Master ,gsallye2@nsu.edu
5.39E+14,985,3,2030,Master ,lchaperlingfk@nsu.edu
5.21E+14,675,10,2029,Master ,fjanciklu@nsu.edu
5.95E+14,372,6,2032,Master ,ltrenfieldnt@nsu.edu
5.35E+14,197,4,2027,Master ,lblaxill3s@nsu.edu
5.36E+14,607,11,2032,Master ,dshuttlewood82@nsu.edu
5.46E+14,976,5,2030,Master ,kcoughlan1f@nsu.edu
5.32E+14,734,8,2029,Master ,ahaxellil@nsu.edu
5.00E+14,270,11,2032,Master ,rstanelandj2@nsu.edu
5.08E+14,576,12,2027,Master ,smasselin90@nsu.edu
5.53E+14,363,2,2029,Master ,cpetracchiqr@nsu.edu
5.43E+14,512,5,2029,Master ,kmerner5m@nsu.edu
5.15E+14,451,4,2024,Master ,odilke64@nsu.edu
5.41E+14,246,8,2031,Master ,kgedney5c@nsu.edu
5.67E+14,661,1,2029,Master ,tandino92@nsu.edu
5.57E+14,850,10,2031,Master ,ewithers9j@nsu.edu
5.69E+14,239,8,2029,Master ,jboultwoodre@nsu.edu
5.14E+14,322,12,2026,Master ,smutlow4d@nsu.edu
5.01E+14,966,2,2028,Master ,rcorderoyey@nsu.edu
5.54E+14,111,1,2031,Master ,pbullusj6@nsu.edu
5.38E+14,366,5,2029,Master ,egaylord7w@nsu.edu
5.31E+14,13,6,2032,Master ,rgiloglyae@nsu.edu
5.32E+14,215,7,2026,Master ,bscriven8m@nsu.edu
5.72E+14,716,11,2031,Master ,phansard9g@nsu.edu
5.01E+14,364,10,2032,Master ,fhammon9o@nsu.edu
